Company,Date,Author,Upside (%),Tier,Type
HDFCBANK,2025-05-06,Geojit BNP Paribas,10.78,Tier 2,Buy
HDFCBANK,2025-04-23,KRChoksey,4.92,Tier 2,Accumulate
HDFCBANK,2025-04-21,BOB Capital Markets Ltd.,11.84,Tier 2,Buy
HDFCBANK,2025-04-21,Prabhudas Lilladhar,7.39,Tier 2,Buy
HDFCBANK,2025-04-21,Axis Direct,13.71,Tier 2,Buy
HDFCBANK,2025-04-20,Emkay,11.18,Tier 2,Buy
HDFCBANK,2025-04-20,ICICI Securities Limited,11.18,Tier 1,Buy
HDFCBANK,2025-04-20,Motilal Oswal,11.18,Tier 1,Buy
HDFCBANK,2025-04-20,IDBI Capital,11.18,Tier 2,Buy
HDFCBANK,2025-04-19,Sharekhan,16.24,Tier 2,Buy
ICICIBANK,2025-05-05,Geojit BNP Paribas,7.08,Tier 2,Hold
ICICIBANK,2025-04-23,KRChoksey,13.86,Tier 2,Buy
ICICIBANK,2025-04-21,Prabhudas Lilladhar,16.46,Tier 2,Buy
ICICIBANK,2025-04-21,Axis Direct,13.04,Tier 2,Buy
ICICIBANK,2025-04-20,BOB Capital Markets Ltd.,10.98,Tier 2,Buy
ICICIBANK,2025-04-20,Motilal Oswal,13.04,Tier 1,Buy
ICICIBANK,2025-04-20,Emkay,9.61,Tier 2,Buy
ICICIBANK,2025-04-20,IDBI Capital,10.64,Tier 2,Buy
ICICIBANK,2025-04-19,Sharekhan,13.04,Tier 2,Buy
SBIN,2025-05-21,Geojit BNP Paribas,9.22,Tier 2,Buy
SBIN,2025-05-05,Axis Direct,26.07,Tier 2,Buy
SBIN,2025-05-05,BOB Capital Markets Ltd.,21.64,Tier 2,Buy
SBIN,2025-05-05,KRChoksey,15.74,Tier 2,Buy
SBIN,2025-05-05,ICICI Direct,15.61,Tier 2,Buy
SBIN,2025-05-04,Emkay,19.92,Tier 2,Buy
SBIN,2025-05-04,Prabhudas Lilladhar,18.07,Tier 2,Buy
SBIN,2025-05-04,Motilal Oswal,12.54,Tier 1,Buy
SBIN,2025-05-03,Sharekhan,20.53,Tier 2,Buy
SBIN,2025-04-22,Ventura,26.07,Tier 2,Buy
BAJFINANCE,2025-05-05,KRChoksey,3.58,Tier 2,Accumulate
BAJFINANCE,2025-05-05,ICICI Direct,6.71,Tier 2,Hold
BAJFINANCE,2025-04-30,Axis Direct,12.04,Tier 2,Buy
BAJFINANCE,2025-04-30,BOB Capital Markets Ltd.,17.64,Tier 2,Buy
BAJFINANCE,2025-04-30,Sharekhan,12.04,Tier 2,Buy
KOTAKBANK,2025-05-20,Geojit BNP Paribas,9.19,Tier 2,Hold
KOTAKBANK,2025-05-05,ICICI Direct,15.75,Tier 2,Buy
KOTAKBANK,2025-05-05,Prabhudas Lilladhar,15.75,Tier 2,Buy
KOTAKBANK,2025-05-05,BOB Capital Markets Ltd.,21.54,Tier 2,Buy
KOTAKBANK,2025-05-05,Axis Direct,18.65,Tier 2,Buy
KOTAKBANK,2025-05-05,KRChoksey,13.44,Tier 2,Accumulate
KOTAKBANK,2025-05-04,Emkay,5.95,Tier 2,Sell
KOTAKBANK,2025-05-04,Motilal Oswal,20.57,Tier 1,Buy
KOTAKBANK,2025-05-03,Sharekhan,20.57,Tier 2,Buy
AXISBANK,2025-05-12,Geojit BNP Paribas,9.16,Tier 2,Buy
AXISBANK,2025-04-30,KRChoksey,12.67,Tier 2,Accumulate
AXISBANK,2025-04-25,Asit C Mehta Investment Interrmediates,19.29,Tier 2,Buy
AXISBANK,2025-04-25,Prabhudas Lilladhar,25.57,Tier 2,Buy
AXISBANK,2025-04-25,ICICI Securities Limited,17.19,Tier 1,Buy
AXISBANK,2025-04-25,BOB Capital Markets Ltd.,13.34,Tier 2,Hold
AXISBANK,2025-04-24,Sharekhan,17.19,Tier 2,Buy
AXISBANK,2025-04-24,Motilal Oswal,8.82,Tier 1,Neutral
SBILIFE,2025-06-04,Ventura,46.92,Tier 2,Buy
SBILIFE,2025-05-19,Geojit BNP Paribas,15.02,Tier 2,Buy
SBILIFE,2025-04-29,KRChoksey,9.79,Tier 2,Accumulate
SBILIFE,2025-04-25,Emkay,9.51,Tier 2,Buy
SBILIFE,2025-04-25,Axis Direct,6.71,Tier 2,Buy
SBILIFE,2025-04-25,BOB Capital Markets Ltd.,12.77,Tier 2,Buy
SBILIFE,2025-04-24,Motilal Oswal,12.32,Tier 1,Buy
HDFCLIFE,2025-04-21,Sharekhan,15.22,Tier 2,Buy
HDFCLIFE,2025-04-21,KRChoksey,10.05,Tier 2,Buy
HDFCLIFE,2025-04-18,BOB Capital Markets Ltd.,19.19,Tier 2,Buy
HDFCLIFE,2025-04-17,Motilal Oswal,12.57,Tier 1,Buy
PFC,2025-05-21,Motilal Oswal,15.92,Tier 1,Buy
CHOLAFIN,2025-04-29,Axis Direct,11.72,Tier 2,Buy
CHOLAFIN,2025-04-29,Motilal Oswal,11.10,Tier 1,Buy
SHRIRAMFIN,2025-06-03,Motilal Oswal,16.24,Tier 1,Buy
SHRIRAMFIN,2025-04-29,ICICI Direct,5.34,Tier 2,Buy
SHRIRAMFIN,2025-04-28,Axis Direct,14.78,Tier 2,Buy
SHRIRAMFIN,2025-04-28,IDBI Capital,13.33,Tier 2,Buy
SHRIRAMFIN,2025-04-26,Emkay,8.97,Tier 2,Buy
BANKBARODA,2025-05-13,Sharekhan,5.61,Tier 2,Buy
BANKBARODA,2025-05-08,Emkay,13.74,Tier 2,Buy
BANKBARODA,2025-05-08,Axis Direct,13.74,Tier 2,Buy
BANKBARODA,2025-05-07,Prabhudas Lilladhar,11.71,Tier 2,Buy
PNB,2025-06-04,Geojit BNP Paribas,14.36,Tier 2,Buy
PNB,2025-05-08,Emkay,13.45,Tier 2,Buy
UNIONBANK,2025-04-09,Ventura,5.04,Tier 2,Buy
RECLTD,2025-05-15,Emkay,26.51,Tier 2,Buy
HDFCAMC,2025-04-17,Motilal Oswal,-1.72,Tier 1,Buy
CANBK,2025-05-08,Emkay,3.71,Tier 2,Buy
ICICIGI,2025-04-16,Sharekhan,14.64,Tier 2,Buy
ICICIGI,2025-04-15,Motilal Oswal,9.66,Tier 1,Buy
MUTHOOTFIN,2025-05-15,IDBI Capital,-2.30,Tier 2,Hold
SBICARD,2025-05-13,Geojit BNP Paribas,18.64,Tier 2,Sell
SBICARD,2025-04-24,Motilal Oswal,-1.82,Tier 1,Neutral
ICICIPRULI,2025-05-16,Geojit BNP Paribas,6.60,Tier 2,Buy
ICICIPRULI,2025-04-20,ICICI Securities Limited,17.92,Tier 1,Buy
ICICIPRULI,2025-04-15,Motilal Oswal,6.91,Tier 1,Buy
ICICIPRULI,2025-04-15,Sharekhan,17.92,Tier 2,Buy
INDIANB,2025-06-04,Emkay,6.46,Tier 2,Buy
INDIANB,2025-05-04,Motilal Oswal,5.67,Tier 1,Buy
INDIANB,2025-05-04,Emkay,6.46,Tier 2,Buy
INDUSINDBK,2025-05-22,ICICI Securities Limited,21.01,Tier 1,Sell
INDUSINDBK,2025-05-22,IDBI Capital,17.36,Tier 2,Sell
INDUSINDBK,2025-05-21,Motilal Oswal,-21.01,Tier 1,Neutral
INDUSINDBK,2025-04-30,Emkay,11.89,Tier 2,Sell
BANKINDIA,2025-06-03,Geojit BNP Paribas,11.75,Tier 2,Accumulate
SUNDARMFIN,2025-05-27,IDBI Capital,9.09,Tier 2,Hold
AUBANK,2025-04-23,Emkay,19.95,Tier 2,Sell
AUBANK,2025-04-23,Axis Direct,0.73,Tier 2,Buy
AUBANK,2025-04-22,Sharekhan,0.06,Tier 2,Buy
AUBANK,2025-04-22,Motilal Oswal,3.40,Tier 1,Buy
IDFCFIRSTB,2025-05-05,Keynote Capitals Ltd,-0.63,Tier 2,Neutral
IDFCFIRSTB,2025-04-28,BOB Capital Markets Ltd.,10.41,Tier 2,Buy
IDFCFIRSTB,2025-04-27,Motilal Oswal,0.63,Tier 1,Neutral
IDFCFIRSTB,2025-04-27,Anand Rathi,7.62,Tier 2,Buy
IDFCFIRSTB,2025-04-19,ICICI Securities Limited,4.82,Tier 1,Buy
IDFCFIRSTB,2025-04-17,Ventura,24.53,Tier 2,Sell
MOTILALOFS,2025-04-29,Emkay,-2.34,Tier 2,Buy
FEDERALBNK,2025-06-01,Emkay,15.51,Tier 2,Buy
FEDERALBNK,2025-05-02,Prabhudas Lilladhar,5.88,Tier 2,Buy
FEDERALBNK,2025-05-02,Axis Direct,10.69,Tier 2,Buy
FEDERALBNK,2025-05-01,IDBI Capital,3.47,Tier 2,Hold
FEDERALBNK,2025-05-01,Motilal Oswal,10.69,Tier 1,Buy
FEDERALBNK,2025-04-30,Anand Rathi,18.39,Tier 2,Buy
FEDERALBNK,2025-04-30,Sharekhan,5.88,Tier 2,Buy
NAM-INDIA,2025-04-28,Sharekhan,1.20,Tier 2,Buy
LTF,2025-05-28,Geojit BNP Paribas,2.75,Tier 2,Accumulate
LTF,2025-04-29,ICICI Securities Limited,8.01,Tier 1,Buy
LTF,2025-04-29,Emkay,20.97,Tier 2,Sell
LTF,2025-04-28,Motilal Oswal,5.38,Tier 1,Buy
360ONE,2025-04-23,Motilal Oswal,22.09,Tier 1,Buy
CDSL,2025-05-05,Motilal Oswal,-35.25,Tier 1,Neutral
LICHSGFIN,2025-05-17,Motilal Oswal,9.22,Tier 1,Neutral
LICHSGFIN,2025-05-16,Prabhudas Lilladhar,18.18,Tier 2,Buy
LICHSGFIN,2025-04-15,IDBI Capital,12.15,Tier 2,Buy
POONAWALLA,2025-04-27,ICICI Securities Limited,-14.51,Tier 1,Hold
POONAWALLA,2025-04-27,Emkay,33.51,Tier 2,Sell
POONAWALLA,2025-04-26,Motilal Oswal,4.49,Tier 1,Buy
PNBHOUSING,2025-06-04,Motilal Oswal,11.32,Tier 1,Buy
PNBHOUSING,2025-04-29,ICICI Securities Limited,8.61,Tier 1,Buy
PNBHOUSING,2025-04-28,Motilal Oswal,11.32,Tier 1,Buy
BANDHANBNK,2025-05-26,Geojit BNP Paribas,10.63,Tier 2,Accumulate
BANDHANBNK,2025-05-06,KRChoksey,5.45,Tier 2,Buy
BANDHANBNK,2025-05-02,Axis Direct,3.72,Tier 2,Hold
BANDHANBNK,2025-04-30,Anand Rathi,19.27,Tier 2,Buy
ABSLAMC,2025-04-28,Motilal Oswal,0.17,Tier 1,Buy
ABSLAMC,2025-04-25,Ventura,17.76,Tier 2,Buy
MANAPPURAM,2025-06-04,Geojit BNP Paribas,2.20,Tier 2,Hold
CREDITACC,2025-05-17,Motilal Oswal,18.77,Tier 1,Buy
KARURVYSYA,2025-05-20,Emkay,26.03,Tier 2,Buy
KARURVYSYA,2025-05-19,Anand Rathi,18.47,Tier 2,Buy
IEX,2025-04-28,Keynote Capitals Ltd,1.42,Tier 2,Neutral
IEX,2025-04-26,Motilal Oswal,3.40,Tier 1,Neutral
APTUS,2025-05-08,Axis Direct,26.34,Tier 2,Buy
UTIAMC,2025-05-02,Prabhudas Lilladhar,6.22,Tier 2,Buy
UTIAMC,2025-04-08,Ventura,21.33,Tier 2,Buy
AAVAS,2025-04-25,IDBI Capital,21.73,Tier 2,Hold
CUB,2025-05-05,Axis Direct,11.85,Tier 2,Buy
CUB,2025-05-05,Prabhudas Lilladhar,4.39,Tier 2,Buy
CUB,2025-05-05,Asit C Mehta Investment Interrmediates,1.90,Tier 2,Buy
CUB,2025-05-03,IDBI Capital,6.87,Tier 2,Buy
CUB,2025-05-02,Anand Rathi,8.37,Tier 2,Buy
HOMEFIRST,2025-05-03,Motilal Oswal,15.34,Tier 1,Buy
HOMEFIRST,2025-04-23,Motilal Oswal,15.34,Tier 1,Buy
HOMEFIRST,2025-04-11,ICICI Securities Limited,3.81,Tier 1,Buy
RBLBANK,2025-06-03,Emkay,14.87,Tier 2,Buy
RBLBANK,2025-05-20,Geojit BNP Paribas,10.28,Tier 2,Accumulate
RBLBANK,2025-04-27,Motilal Oswal,1.09,Tier 1,Buy
RBLBANK,2025-04-26,Emkay,3.39,Tier 2,Buy
CANFINHOME,2025-04-25,Sharekhan,8.62,Tier 2,Buy
CANFINHOME,2025-04-25,Axis Direct,6.06,Tier 2,Buy
UJJIVANSFB,2025-05-02,Axis Direct,2.44,Tier 2,Buy
UJJIVANSFB,2025-04-22,Axis Direct,2.45,Tier 2,Buy
RELIGARE,2025-04-24,Ventura,15.67,Tier 2,Buy
SOUTHBANK,2025-06-05,Geojit BNP Paribas,13.21,Tier 2,Accumulate
SOUTHBANK,2025-05-17,ICICI Securities Limited,26.93,Tier 1,Buy
EQUITASBNK,2025-05-12,Geojit BNP Paribas,2.03,Tier 2,Accumulate
EQUITASBNK,2025-05-02,Axis Direct,14.03,Tier 2,Buy
EQUITASBNK,2025-05-01,Motilal Oswal,15.53,Tier 1,Buy
KTKBANK,2025-05-15,Emkay,31.25,Tier 2,Buy
CSBBANK,2025-04-30,ICICI Direct,10.35,Tier 2,Buy
MASFIN,2025-05-05,Axis Direct,10.26,Tier 2,Buy
MASFIN,2025-05-03,Motilal Oswal,8.57,Tier 1,Buy
INDOSTAR,2025-05-01,Motilal Oswal,6.15,Tier 1,Buy
DCBBANK,2025-05-02,Keynote Capitals Ltd,49.12,Tier 2,Buy
DCBBANK,2025-04-28,IDBI Capital,15.76,Tier 2,Buy
DCBBANK,2025-04-28,Axis Direct,8.95,Tier 2,Buy
DCBBANK,2025-04-27,BOB Capital Markets Ltd.,8.95,Tier 2,Buy
DCBBANK,2025-04-25,Motilal Oswal,12.35,Tier 1,Buy
REPCOHOME,2025-05-20,IDBI Capital,16.51,Tier 2,Buy
FINOPB,2025-04-30,Emkay,12.78,Tier 2,Buy
FINOPB,2025-04-15,Ventura,9.40,Tier 2,Buy
SPANDANA,2025-05-31,Motilal Oswal,24.43,Tier 1,Buy
