Company Name,URL
Coromandel,https://trendlyne.com/equity/284/COROMANDEL/coromandel-international-ltd/
The Fertilisers and Chemicals,https://trendlyne.com/equity/405/FACT/the-fertilisers-and-chemicals-travancore-ltd/
Chambal Fertilisers,https://trendlyne.com/equity/258/CHAMBLFERT/chambal-fertilisers-chemicals-ltd/
Paradeep Phosphates,https://trendlyne.com/equity/895889/PARADEEP/paradeep-phosphates-ltd/
Rashtriya Chemicals,https://trendlyne.com/equity/1117/RCF/rashtriya-chemicals-fertilizers-ltd/
Gujarat State Fertilizer,https://trendlyne.com/equity/499/GSFC/gujarat-state-fertilizer-chemicals-ltd/
Gujarat Narmada,https://trendlyne.com/equity/473/GNFC/gujarat-narmada-valley-fertilizers-chemicals-ltd/
National Fertilizers,https://trendlyne.com/equity/936/NFL/national-fertilizers-ltd/
Kothari Industrial,https://trendlyne.com/equity/83566/KOTHARINDL/kothari-industrial-corporation-ltd/
Mangalore Chemicals,https://trendlyne.com/equity/830/MANGCHEFER/mangalore-chemicals-fertilizers-ltd/
Madhya Bharat Agro,https://trendlyne.com/equity/87744/MBAPL/madhya-bharat-agro-products-ltd/
Krishana Phoschem,https://trendlyne.com/equity/87779/KRISHANA/krishana-phoschem-ltd/
Southern Petrchem,https://trendlyne.com/equity/1275/SPIC/southern-petrochemicals-industries-corporation-ltd/
Madras Fertilizers,https://trendlyne.com/equity/812/MADRASFERT/madras-fertilizers-ltd/
Zuari Agro Chemicals,https://trendlyne.com/equity/1548/ZUARI/zuari-agro-chemicals-ltd/
Khaitan Chemicals,https://trendlyne.com/equity/2337/KHAICHEM/khaitan-chemicals-fertilizers-ltd/
Nova Agritech,https://trendlyne.com/equity/1915993/NOVAAGRI/nova-agritech-ltd/
Rama Phosphates,https://trendlyne.com/equity/2995/RAMAPHO/rama-phosphates-ltd/
Nagarjuna Fertilizers,https://trendlyne.com/equity/4611/NAGAFERT/nagarjuna-fertilizers-and-chemicals-ltd/
Bharat Agri Fert & Realty,https://trendlyne.com/equity/3719/BHARATAGRI/bharat-agri-fert-realty-ltd/
Sikko Industries,https://trendlyne.com/equity/87783/SIKKO/sikko-industries-ltd/
Indian Phosphate Ltd.,https://trendlyne.com/equity/2560195/IPHL/indian-phosphate-ltd/
Basant Agro Tech,https://trendlyne.com/equity/3068/BASANTGL/basant-agro-tech-india-ltd/
Agro Phos,https://trendlyne.com/equity/57464/AGROPHOS/agro-phos-india-ltd/
Teesta Agro,https://trendlyne.com/equity/3007/TEEAI/teesta-agro-industries-ltd/
Indra Industries,https://trendlyne.com/equity/4202/INDRAIND/indra-industries-ltd/
The Phosphate Co,https://trendlyne.com/equity/116515/542123/the-phosphate-company-ltd/
Bohra Industries,https://trendlyne.com/equity/87755/BOHRAIND/bohra-industries-ltd/
Shiva Global Agro,https://trendlyne.com/equity/3330/SHIVAAGRO/shiva-global-agro-industries-ltd/
M P Agro Industries,https://trendlyne.com/equity/2291/MPAGROFERT/m-p-agro-industries-ltd/
