Company Name,URL
Reliance Industries,https://trendlyne.com/equity/1127/RELIANCE/reliance-industries-ltd/
Oil And Natural Gas,https://trendlyne.com/equity/974/ONGC/oil-and-natural-gas-corporation-ltd/
Indian Oil,https://trendlyne.com/equity/639/IOC/indian-oil-corporation-ltd/
Bharat Petroleum,https://trendlyne.com/equity/215/BPCL/bharat-petroleum-corporation-ltd/
Hindustan Petroleum,https://trendlyne.com/equity/556/HINDPETRO/hindustan-petroleum-corporation-ltd/
OIL,https://trendlyne.com/equity/965/OIL/oil-india-ltd/
Petronet LNG,https://trendlyne.com/equity/1025/PETRONET/petronet-lng-ltd/
Aegis Logistics,https://trendlyne.com/equity/35/AEGISLOG/aegis-logistics-ltd/
Mangalore Refinery,https://trendlyne.com/equity/885/MRPL/mangalore-refinery-and-petrochemicals-ltd/
Castrol,https://trendlyne.com/equity/241/CASTROLIND/castrol-india-ltd/
PCBL,https://trendlyne.com/equity/1034/PCBL/pcbl-chemical-ltd/
Chennai Petroleum,https://trendlyne.com/equity/260/CHENNPETRO/chennai-petroleum-corporation-ltd/
Gulf Oil Lubricants,https://trendlyne.com/equity/518/GULFOILLUB/gulf-oil-lubricants-india-ltd/
Savita Oil Tech,https://trendlyne.com/equity/1268/SOTL/savita-oil-technologies-ltd/
Tide Water Oil,https://trendlyne.com/equity/1392/VEEDOL/veedol-corporation-ltd/
Deep Industries,https://trendlyne.com/equity/476084/DEEPINDS/deep-industries-ltd/
Hindustan Oil,https://trendlyne.com/equity/555/HINDOILEXP/hindustan-oil-exploration-company-ltd/
Panama Petrochem,https://trendlyne.com/equity/997/PANAMAPET/panama-petrochem-ltd/
Confidence Petroleum,https://trendlyne.com/equity/3203/CONFIPET/confidence-petroleum-india-ltd/
Jindal Drilling,https://trendlyne.com/equity/679/JINDRILL/jindal-drilling-industries-ltd/
Gandhar Oil Refinery,https://trendlyne.com/equity/1785396/GANDHAR/gandhar-oil-refinery-india-ltd/
Dolphin Offshore,https://trendlyne.com/equity/339/DOLPHIN/dolphin-offshore-enterprises-india-ltd/
GOCL Corporation,https://trendlyne.com/equity/517/GOCLCORP/gocl-corporation-ltd/
Asian Energy,https://trendlyne.com/equity/3316/ASIANENE/asian-energy-services-ltd/
Selan Exploration,https://trendlyne.com/equity/1200/SELAN/selan-exploration-technology-ltd/
Gujarat Natural Resources,https://trendlyne.com/equity/2645/GNRL/gujarat-natural-resources-ltd/
Goa Carbon,https://trendlyne.com/equity/474/GOACARBON/goa-carbon-ltd/
Oil Country Tubular,https://trendlyne.com/equity/966/OILCOUNTUB/oil-country-tubular-ltd/
Rajasthan Gases,https://trendlyne.com/equity/3213/RAJGASES/rajasthan-gases-ltd/
Aban Offshore,https://trendlyne.com/equity/16/ABAN/aban-offshore-ltd/
GP Petroleums,https://trendlyne.com/equity/1164/GULFPETRO/gp-petroleums-ltd/
DHP,https://trendlyne.com/equity/3542/DHPIND/dhp-india-ltd/
Sanmit Infra,https://trendlyne.com/equity/3845/SANINFRA/sanmit-infra-ltd/
Alphageo,https://trendlyne.com/equity/64/ALPHAGEO/alphageo-india-ltd/
Aakash Exploration,https://trendlyne.com/equity/87833/AAKASH/aakash-exploration-services-ltd/
Arabian Petroleum,https://trendlyne.com/equity/1710029/ARABIAN/arabian-petroleum-ltd/
Continental Petroleums,https://trendlyne.com/equity/2931/CONTPTR/continental-petroleums-ltd/
Real Eco-Energy,https://trendlyne.com/equity/3246/RREALTY/real-eco-energy-ltd/
Duke Offshore,https://trendlyne.com/equity/3596/DUKEOFS/duke-offshore-ltd/
Gagan Gases,https://trendlyne.com/equity/3057/GAGAN/gagan-gases-ltd/
