Company,Date,Author,Upside (%),Tier,Type
RELIANCE,2025-05-13,Geojit BNP Paribas,8.62,Tier 2,Hold
RELIANCE,2025-04-28,Prabhudas Lilladhar,2.67,Tier 2,Accumulate
ONGC,2025-05-22,Prabhudas Lilladhar,14.97,Tier 2,Accumulate
IOC,2025-06-05,Geojit BNP Paribas,7.97,Tier 2,Hold
IOC,2025-05-04,Motilal Oswal,17.20,Tier 1,Buy
IOC,2025-05-04,Prabhudas Lilladhar,13.34,Tier 2,Sell
IOC,2025-04-08,AUM Capital,12.23,Tier 2,Buy
BPCL,2025-05-23,Geojit BNP Paribas,10.51,Tier 2,Hold
BPCL,2025-05-04,Prabhudas Lilladhar,15.69,Tier 2,Sell
BPCL,2025-05-03,Motilal Oswal,-5.27,Tier 1,Neutral
BPCL,2025-05-03,Emkay,26.30,Tier 2,Buy
HINDPETRO,2025-06-04,Geojit BNP Paribas,8.83,Tier 2,Hold
HINDPETRO,2025-05-16,Prabhudas Lilladhar,21.14,Tier 2,Sell
HINDPETRO,2025-05-08,Emkay,22.84,Tier 2,Buy
HINDPETRO,2025-05-07,Prabhudas Lilladhar,21.63,Tier 2,Sell
OIL,2025-05-28,Motilal Oswal,16.62,Tier 1,Buy
OIL,2025-05-28,Prabhudas Lilladhar,52.90,Tier 2,Buy
PETRONET,2025-05-20,ICICI Securities Limited,18.29,Tier 1,Sell
PETRONET,2025-05-20,Prabhudas Lilladhar,4.56,Tier 2,Sell
MRPL,2025-04-28,Motilal Oswal,25.57,Tier 1,Sell
PCBL,2025-04-30,ICICI Direct,23.89,Tier 2,Buy
GULFOILLUB,2025-06-04,Emkay,56.84,Tier 2,Buy
