Company Name,URL
Bharti Airtel,https://trendlyne.com/equity/187/BHARTIARTL/bharti-airtel-ltd/
Indus Towers,https://trendlyne.com/equity/629/INDUSTOWER/indus-towers-ltd/
Bharti Hexacom,https://trendlyne.com/equity/2170198/BHARTIHEXA/bharti-hexacom-ltd/
Vodafone Idea,https://trendlyne.com/equity/589/IDEA/vodafone-idea-ltd/
Tata Communications,https://trendlyne.com/equity/1357/TATACOMM/tata-communications-ltd/
RailTel Corporation,https://trendlyne.com/equity/424520/RAILTEL/railtel-corporation-of-india-ltd/
Tata Tele,https://trendlyne.com/equity/1423/TTML/tata-teleservices-maharashtra-ltd/
Mahanagar Telephone Nigam,https://trendlyne.com/equity/888/MTNL/mahanagar-telephone-nigam-ltd/
SAR Televenture,https://trendlyne.com/equity/1770397/SARTELE/sar-televenture-ltd/
Suyog Telematics,https://trendlyne.com/equity/4007/SUYOG/suyog-telematics-ltd/
OnMobile Global,https://trendlyne.com/equity/975/ONMOBILE/onmobile-global-ltd/
GTL,https://trendlyne.com/equity/504/GTL/gtl-ltd/
Quadrant Televentures,https://trendlyne.com/equity/2427/511116/quadrant-televentures-ltd/
City Online Services,https://trendlyne.com/equity/4083/CITYONLINE/city-online-services-ltd/
Bharti Airtel PP,https://trendlyne.com/equity/715100/AIRTELPP/bharti-airtel-ltd-partly-paidup/
