Company Name,URL
Adani Ports,https://trendlyne.com/equity/27/ADANIPORTS/adani-ports-special-economic-zone-ltd/
InterGlobe Aviation,https://trendlyne.com/equity/1784/INDIGO/interglobe-aviation-ltd/
JSW Infrastructure,https://trendlyne.com/equity/1698179/JSWINFRA/jsw-infrastructure-ltd/
Cochin Shipyard,https://trendlyne.com/equity/57095/COCHINSHIP/cochin-shipyard-ltd/
Container Corp,https://trendlyne.com/equity/279/CONCOR/container-corporation-of-india-ltd/
Aegis Vopak Terminals,https://trendlyne.com/equity/3113228/AEGISVOPAK/aegis-vopak-terminals-ltd/
Delhivery,https://trendlyne.com/equity/888524/DELHIVERY/delhivery-ltd/
Blue Dart Express,https://trendlyne.com/equity/208/BLUEDART/blue-dart-express-ltd/
Great Eastern,https://trendlyne.com/equity/452/GESHIP/great-eastern-shipping-company-ltd/
Shipping Corporation,https://trendlyne.com/equity/1196/SCI/shipping-corporation-of-india-ltd/
Transport Corp,https://trendlyne.com/equity/1368/TCI/transport-corporation-of-india-ltd/
Zinka Logistics Solutions ...,https://trendlyne.com/equity/2779148/BLACKBUCK/zinka-logistics-solutions-ltd/
Gujarat Pipavav Port,https://trendlyne.com/equity/487/GPPL/gujarat-pipavav-port-ltd/
TVS Supply Chain,https://trendlyne.com/equity/1607854/TVSSCS/tvs-supply-chain-solutions-ltd/
Spicejet,https://trendlyne.com/equity/2064/SPICEJET/spicejet-ltd/
VRL Logistics,https://trendlyne.com/equity/1688/VRLLOG/vrl-logistics-ltd/
Gateway Distriparks,https://trendlyne.com/equity/852172/GATEWAY/gateway-distriparks-ltd/
Allcargo Logistics,https://trendlyne.com/equity/59/ALLCARGO/allcargo-logistics-ltd/
TCI Express,https://trendlyne.com/equity/52914/TCIEXP/tci-express-ltd/
Sanghvi Movers,https://trendlyne.com/equity/1181/SANGHVIMOV/sanghvi-movers-ltd/
Afcom Holdings,https://trendlyne.com/equity/2486163/17160453/afcom-holdings-ltd/
Mahindra Logistics,https://trendlyne.com/equity/65007/MAHLOG/mahindra-logistics-ltd/
TIL,https://trendlyne.com/equity/1395/TIL/til-ltd/
Seamec,https://trendlyne.com/equity/1198/SEAMECLTD/seamec-ltd/
Dredging Corporation,https://trendlyne.com/equity/345/DREDGECORP/dredging-corporation-of-india-ltd/
Kernex Microsystems,https://trendlyne.com/equity/731/KERNEX/kernex-microsystems-india-ltd/
Ecos Mobility,https://trendlyne.com/equity/2571013/ECOSMOBLTY/ecos-india-mobility-hospitality-ltd/
